series,estimated_min,step,probe_loss,mean_step_s
LOZO full nu50,67.068150,4980,0.4627,0.80805
LOZO full nu50,67.202825,4990,0.3545,0.80805
LOZO full nu50,67.337500,5000,0.484,0.80805
LOZO full nu50,67.472175,5010,0.4276,0.80805
LOZO full nu50,67.606850,5020,0.3978,0.80805
LOZO full nu50,67.741525,5030,0.4081,0.80805
LOZO full nu50,67.876200,5040,0.4473,0.80805
LOZO full nu50,68.010875,5050,0.4083,0.80805
LOZO full nu50,68.145550,5060,0.4293,0.80805
LOZO full nu50,68.280225,5070,0.3901,0.80805
LOZO lora_only nu50,0.120314,10,0.8526,0.721883
LOZO lora_only nu50,0.240628,20,0.944,0.721883
LOZO lora_only nu50,0.360942,30,0.8619,0.721883
LOZO lora_only nu50,0.481255,40,0.8677,0.721883
LOZO lora_only nu50,0.601569,50,0.919,0.721883
LOZO lora_only nu50,0.721883,60,0.7385,0.721883
LOZO lora_only nu50,0.842197,70,0.9685,0.721883
LOZO lora_only nu50,0.962511,80,0.7803,0.721883
LOZO lora_only nu50,1.082825,90,0.7541,0.721883
LOZO lora_only nu50,1.203138,100,0.8092,0.721883
LOZO lora_only nu50,1.323452,110,0.9001,0.721883
LOZO lora_only nu50,1.443766,120,1.0028,0.721883
