series,step,probe_loss
LOZO lora_only nu50,1890,0.5303
LOZO lora_only nu50,1900,0.5807
LOZO lora_only nu50,1910,0.5146
LOZO lora_only nu50,1920,0.5267
LOZO lora_only nu50,1930,0.5925
LOZO lora_only nu50,1940,0.4949
LOZO lora_only nu50,1950,0.5088
LOZO lora_only nu50,1960,0.5126
LOZO lora_only nu50,1970,0.5592
LOZO lora_only nu50,1980,0.599
LOZO lora_only nu50,1990,0.4496
LOZO lora_only nu50,2000,0.5432
LOZO lora_only nu50,2010,0.5293
LOZO lora_only nu50,2020,0.5216
LOZO lora_only nu50,2030,0.5415
LOZO lora_only nu50,2040,0.5345
LOZO lora_only nu50,2050,0.6306
LOZO lora_only nu50,2060,0.5223
LOZO lora_only nu50,2070,0.5115
LOZO lora_only nu50,2080,0.5403
LOZO lora_only nu50,2090,0.5382
LOZO lora_only nu50,2100,0.5907
LOZO lora_only nu50,2110,0.5066
LOZO lora_only nu50,2120,0.4763
LOZO lora_only nu50,2130,0.5578
LOZO lora_only nu50,2140,0.5356
LOZO lora_only nu50,2150,0.6282
LOZO lora_only nu50,2160,0.4826
LOZO lora_only nu50,2170,0.4485
LOZO lora_only nu50,2180,0.4957
LOZO lora_only nu50,2190,0.6016
LOZO lora_only nu50,2200,0.4492
LOZO lora_only nu50,2210,0.5118
LOZO lora_only nu50,2220,0.4987
LOZO lora_only nu50,2230,0.4687
LOZO lora_only nu50,2240,0.4774
LOZO lora_only nu50,2250,0.4932
LOZO lora_only nu50,2260,0.5259
LOZO lora_only nu50,2270,0.4868
LOZO lora_only nu50,2280,0.5166
LOZO lora_only nu50,2290,0.4573
LOZO lora_only nu50,2300,0.5317
LOZO lora_only nu50,2310,0.483
LOZO lora_only nu50,2320,0.6037
LOZO lora_only nu50,2330,0.4773
LOZO lora_only nu50,2340,0.5421
LOZO lora_only nu50,2350,0.476
LOZO lora_only nu50,2360,0.4809
LOZO lora_only nu50,2370,0.5085
LOZO lora_only nu50,2380,0.5397
LOZO lora_only nu50,2390,0.4666
LOZO lora_only nu50,2400,0.5023
LOZO lora_only nu50,2410,0.4478
LOZO lora_only nu50,2420,0.4634
LOZO lora_only nu50,2430,0.4868
LOZO lora_only nu50,2440,0.5495
LOZO lora_only nu50,2450,0.5114
LOZO lora_only nu50,2460,0.542
LOZO lora_only nu50,2470,0.5311
LOZO lora_only nu50,2480,0.4656
LOZO lora_only nu50,2490,0.4445
LOZO lora_only nu50,2500,0.5234
LOZO lora_only nu50,2510,0.4521
LOZO lora_only nu50,2520,0.5138
LOZO lora_only nu50,2530,0.5224
LOZO lora_only nu50,2540,0.5073
LOZO lora_only nu50,2550,0.4873
LOZO lora_only nu50,2560,0.4507
LOZO lora_only nu50,2570,0.4473
LOZO lora_only nu50,2580,0.4944
LOZO lora_only nu50,2590,0.574
LOZO lora_only nu50,2600,0.4769
LOZO lora_only nu50,2610,0.5107
LOZO lora_only nu50,2620,0.4643
LOZO lora_only nu50,2630,0.4621
LOZO lora_only nu50,2640,0.3788
LOZO lora_only nu50,2650,0.4701
LOZO lora_only nu50,2660,0.4992
LOZO lora_only nu50,2670,0.4765
LOZO lora_only nu50,2680,0.4819
LOZO lora_only nu50,2690,0.4922
LOZO lora_only nu50,2700,0.5185
LOZO lora_only nu50,2710,0.4755
LOZO lora_only nu50,2720,0.5188
LOZO lora_only nu50,2730,0.4436
LOZO lora_only nu50,2740,0.4755
LOZO lora_only nu50,2750,0.423
LOZO lora_only nu50,2760,0.4224
LOZO lora_only nu50,2770,0.5305
LOZO lora_only nu50,2780,0.4935
LOZO lora_only nu50,2790,0.4826
LOZO lora_only nu50,2800,0.4658
